id,address,name,latitude,longitude,googleMapsUri,websiteUri,type,district
ChIJqeWuaA1kzpQRpcZCi3J9Sew,"R. Papa-Piri, 29 - Vila Nova Curuca, São Paulo",Constelação Colégio,-23.5210785,-46.420844,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce640d68aee5a9:0xec497d728b42c6a5!10e5,http://www.colegioconstelacao.com.br/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13400118623391030427,school,Vila Curuçá São Paulo
ChIJNzfjXpNjzpQRoFy1IVbS-LQ,"R. Grapirá, 537 - Vila Curuçá Velha, São Paulo",Centro Esportivo Educacional Senador José Ermírio de Moraes,-23.4969536,-46.4187399,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce63935ee33737:0xb4f8d25621b55ca0!10e5,https://www.prefeitura.sp.gov.br/cidade/secretarias/esportes/noticias/?p=251689,school,Vila Curuçá São Paulo
ChIJr6LASHNkzpQRp0A-nHWp2HM,"R. Noitibó, 80 - Vila Nova Curuca, São Paulo",Maria Regina Machado de Castro Guimaraes Profa,-23.5173177,-46.419851799999996,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce647348c0a2af:0x73d8a9759c3e40a7!10e5,http://www.educacao.sp.gov.br/cgrh/escolas/maria-regina-machado-de-castro-guimaraes-profa/,school,Vila Curuçá São Paulo
ChIJf7dncwlkzpQRq6MEY8ma3Gg,"R. Narceja, 100 - Vila Nova Curuca, São Paulo",ESCOLA ESTADUAL EUNICE MARQUES,-23.5168277,-46.4261099,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce64097367b77f:0x68dc9ac96304a3ab!10e5,http://www.educacao.sp.gov.br/,school,Vila Curuçá São Paulo
ChIJvy5vX_RjzpQR354dFkNBOc8,"Av. Flamingo, 35 - Vila Nova Curuca, São Paulo","ESC.PART. ANTUNES PIRES, COLEGIO",-23.5087513,-46.4226542,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce63f45f6f2ebf:0xcf394143161d9edf!10e5,,school,Vila Curuçá São Paulo
ChIJ7R61v3JjzpQRD3wh76c_L3s,"Rua Raiz-Forte, 193 - Vila Curuçá Velha, São Paulo",EEM vila curuçá,-23.5076784,-46.4198767,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce6372bfb51eed:0x7b2f3fa7ef217c0f!10e5,,school,Vila Curuçá São Paulo
ChIJr6LASHNkzpQRGlMZ8W31eBA,"Rua Gaivão, 80 - Vila Nova Curuca, São Paulo",E.E José Celestino Bourroul,-23.5176952,-46.4198999,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce647348c0a2af:0x1078f56df119531a!10e5,,school,Vila Curuçá São Paulo
ChIJIVTtXQlkzpQR1KIowVPaJ5Y,"R. Avinhado, 270 - Vila Nova Curuca, São Paulo",Escola Luz do Futuro unid. I (Ed. Inf. e Fund. I),-23.5193166,-46.4260621,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce64095ded5421:0x9627da53c128a2d4!10e5,,school,Vila Curuçá São Paulo
ChIJSxU_YFpYzpQRiKvHw2MG_J0,"R. Aurora, 254 - Santa Ifigênia, São Paulo",Shopping Dourado,-23.5390992,-46.639086,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce585a603f154b:0x9dfc0663c3c7ab88!10e5,,shopping_mall,Ipiranga São Paulo
ChIJD6RI1nJkzpQRVBVLBG6GV-4,"R. Tapera, 415 - Vila Nova Curuca, São Paulo",EMEF Professor Fernando de Azevedo,-23.5203888,-46.421919,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce6472d648a40f:0xee57866e044b1554!10e5,http://eolgerenciamento.prefeitura.sp.gov.br/frmgerencial/menuescola.aspx?Cod=093777,school,Vila Curuçá São Paulo
ChIJleAABe1jzpQREvSMHBleFiE,"R. Guirapa, 478 - Vila Curuçá Velha, São Paulo",EMEI Graciliano Ramos,-23.5011732,-46.4218621,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce63ed0500e095:0x21165e191c8cf412!10e5,http://eolgerenciamento.prefeitura.sp.gov.br/frmgerencial/menuescola.aspx?Cod=091146,school,Vila Curuçá São Paulo
ChIJDSROQPdjzpQRWv57CMrF1Sk,"Av. Nordestina, 3370 - Vila Nova Curuca, São Paulo","CR.P.CONV CURUCA, CRECHE PRE ESC",-23.5115915,-46.4289017,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce63f7404e240d:0x29d5c5ca087bfe5a!10e5,http://www.iccsp.org.br,school,Vila Curuçá São Paulo
ChIJV_UdL4tjzpQR-iGubqCntIM,"Rua Rainha-Margarida, 20 - Vila Curuçá Velha, São Paulo",EMEF Jose Borges Andrade,-23.5098408,-46.4198747,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce638b2f1df557:0x83b4a7a06eae21fa!10e5,http://www.educacao.sp.gov.br/,school,Vila Curuçá São Paulo
ChIJcxqf-_FjzpQR3jHqPS91rVo,"Rua Guaraitá, 98 - Vila Curuçá Velha, São Paulo",Escola Gotinha Baby,-23.4998003,-46.4217366,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce63f1fb9f1a73:0x5aad752f3dea31de!10e5,https://www.facebook.com/tatiana.gotinha.3,school,Vila Curuçá São Paulo
ChIJ18uTle9jzpQREfJMwlSJkzc,"Rua Benjamin Capusso, 836 - Vila Curuçá Velha, São Paulo",Escola Estadual Eng Pedro Viriato Parigot de Souza,-23.5087797,-46.4234271,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce63ef9593cbd7:0x37938954c24cf211!10e5,http://www.dataescolabrasil.inep.gov.br/,school,Vila Curuçá São Paulo
ChIJ-yCPa5NjzpQRt8yJ4SuWymU,"Vila Curuçá Velha, São Paulo",Cei Diret Curuca Velha,-23.4982594,-46.4188807,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce63936b8f20fb:0x65ca962be189ccb7!10e5,http://eolgerenciamento.prefeitura.sp.gov.br/frmgerencial/menuescola.aspx?Cod=400037,school,Vila Curuçá São Paulo
ChIJSd-MIQ1kzpQRXk4IwEBOj_U,"R. Cambacica, 268 - Vila Nova Curuca, São Paulo",Escola Luz Do Futuro,-23.5203708,-46.42267349999999,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce640d218cdf49:0xf58f4e40c0084e5e!10e5,,school,Vila Curuçá São Paulo
